"Species","Length_cm","Speed_cms","Mode"
"Zebrasoma scopas",13.2218994059544,17.9319706745095,"Swimming"
"Chromis iomelas",3.73899568616358,10.8487099095604,"Swimming"
"Chaetodon pelewensis",7.59758878593494,6.19922261487955,"Swimming"
"Chromis iomelas",2.82393022239164,13.7986859306668,"Swimming"
"Odonus niger",18.4912642729322,42.2255903184663,"Swimming"
"Chaetodon ornatissimus",12.0200090032888,43.013237550518,"Swimming"
"Cephalopholis argus",22.1316364843336,45.5566048955308,"Swimming"
"Chlorurus spilurus",19.1714812506318,50.0175100702606,"Swimming"
"Chlorurus spilurus",16.9622772077085,33.6179722279486,"Swimming"
"Naso lituratus",19.8598048786787,20.820086264505,"Swimming"
"Naso lituratus",19.3276300658784,26.4157275952992,"Swimming"
"Zebrasoma scopas",11.6623915537006,17.1737568632723,"Swimming"
"Chromis iomelas",4.24465097441836,10.1443312296261,"Swimming"
"Zebrasoma scopas",9.98418941319253,5.956082784955,"Swimming"
"Chaetodon pelewensis",7.27278440557387,11.1316225394192,"Swimming"
"Chromis iomelas",4.21987523777651,15.5427886615796,"Swimming"
"Zebrasoma scopas",10.2401846118478,21.2948501034375,"Swimming"
"Chlorurus spilurus",19.9226234233645,54.5367327619378,"Swimming"
"Chromis iomelas",2.3631544610732,8.20072984857944,"Swimming"
"Naso lituratus",18.285772601804,22.7192751627664,"Swimming"
"Chromis iomelas",3.95819190687361,24.7330458549754,"Swimming"
"Naso lituratus",19.0686619529514,18.1301006610128,"Swimming"
"Chaetodon ornatissimus",8.01986886363641,8.82044800549592,"Eating"
"Naso lituratus",17.29028090628,14.1911984574344,"Swimming"
"Zebrasoma scopas",14.2631468765179,21.6701759989471,"Swimming"
"Chlorurus spilurus",24.7000948010569,22.9760592164552,"Swimming"
"Chromis iomelas",4.16056693424555,19.6971663165318,"Swimming"
"Chaetodon pelewensis",7.56756319261574,4.37036710422664,"Eating"
"Naso lituratus",19.7000517729889,10.958983451805,"Swimming"
"Chaetodon pelewensis",7.51317744105044,48.5052566011822,"Swimming"
"Chlorurus spilurus",22.1498482951167,48.9957197018203,"Swimming"
"Chromis iomelas",2.81120888024296,14.2290459778753,"Swimming"
"Chromis iomelas",3.6339976079196,21.8242186389191,"Swimming"
"Chromis iomelas",4.54045600010865,12.5476362834224,"Swimming"
"Chaetodon pelewensis",8.12433724945732,16.3554384312856,"Swimming"
"Chromis iomelas",4.65499584232956,14.1634399207329,"Swimming"
"Chromis iomelas",4.00115218560926,15.2964931388643,"Swimming"
"Zebrasoma scopas",19.5690684788254,68.0641084594871,"Swimming"
"Chromis iomelas",3.55256232773058,15.942172422547,"Swimming"
"Chlorurus spilurus",26.4076650637682,48.7091065006778,"Swimming"
"Chaetodon pelewensis",8.64864591677025,19.1646499348278,"Swimming"
"Cephalopholis argus",20.9319615536449,20.1960996945153,"Swimming"
"Zebrasoma scopas",16.4375878933666,53.2903568539631,"Swimming"
"Zebrasoma scopas",20.2629869359968,18.3581430724644,"Swimming"
"Zebrasoma scopas",19.843407289009,41.6358343780376,"Swimming"
"Chaetodon pelewensis",7.81759361954704,10.3698777119825,"Swimming"
"Zebrasoma scopas",19.9099460219001,33.4792006229515,"Swimming"
"Chaetodon pelewensis",8.3827951886547,5.50065868930652,"Swimming"
"Cephalopholis argus",36.541766164934,39.1255404496617,"Swimming"
"Cephalopholis argus",21.1129400558089,29.7484796049472,"Swimming"
"Naso lituratus",24.586939854001,77.1305165581548,"Swimming"
"Naso lituratus",26.2853898046943,89.8308908986006,"Swimming"
